E M
-2.41918 0.234085
-2.41904 0.242914
-2.4189 0.251763
-2.41876 0.260631
-2.41862 0.269518
-2.41849 0.278424
-2.41835 0.287348
-2.41822 0.29629
-2.41809 0.305251
-2.41795 0.314228
-2.41782 0.323223
-2.41769 0.332235
-2.41757 0.341264
-2.41744 0.350309
-2.41732 0.35937
-2.41719 0.368447
-2.41707 0.37754
-2.41695 0.386648
-2.41683 0.395772
-2.41671 0.40491
-2.41659 0.414063
-2.41647 0.423231
-2.41635 0.432412
-2.41624 0.441607
-2.41613 0.450816
-2.41601 0.460039
-2.4159 0.469274
-2.41579 0.478522
-2.41568 0.487783
-2.41557 0.497056
-2.41547 0.506341
-2.41536 0.515638
-2.41525 0.524947
-2.41515 0.534267
-2.41505 0.543598
-2.41495 0.55294
-2.41485 0.562293
-2.41475 0.571656
-2.41465 0.581029
-2.41455 0.590413
-2.41445 0.599805
-2.41436 0.609208
-2.41427 0.618619
-2.41417 0.62804
-2.41408 0.637469
-2.41399 0.646907
-2.4139 0.656353
-2.41381 0.665807
-2.41372 0.675269
-2.41364 0.684738
-2.41355 0.694215
-2.41346 0.703699
-2.41338 0.71319
-2.4133 0.722688
-2.41322 0.732192
-2.41313 0.741703
